date;kurs_close;value_import;value_export;volume_import;volume_export
2015-01-01;12385;143;150;147093;508827
2015-01-02;12543;143;150;147093;508827
2015-01-05;12628;143;150;147093;508827
2015-01-06;12658;143;150;147093;508827
2015-01-07;12739;143;150;147093;508827
2015-01-08;12680;143;150;147093;508827
2015-01-09;12652;143;150;147093;508827
2015-01-12;12598;143;150;147093;508827
2015-01-13;12598;143;150;147093;508827
2015-01-14;12613;143;150;147093;508827
2015-01-15;12560;143;150;147093;508827
2015-01-16;12588;143;150;147093;508827
2015-01-19;12619;143;150;147093;508827
2015-01-20;12584;143;150;147093;508827
2015-01-21;12480;143;150;147093;508827
2015-01-22;12488;143;150;147093;508827
2015-01-23;12473;143;150;147093;508827
2015-01-26;12510;143;150;147093;508827
2015-01-27;12477;143;150;147093;508827
2015-01-28;12486;143;150;147093;508827
2015-01-29;12568;143;150;147093;508827
2015-01-30;12668;143;150;147093;508827
2015-02-02;12685;143;150;147093;508827
2015-02-03;12654;143;150;147093;508827
2015-02-04;12625;143;150;147093;508827
2015-02-05;12633;143;150;147093;508827
2015-02-06;12615;143;150;147093;508827
2015-02-09;12648;143;150;147093;508827
2015-02-10;12673;143;150;147093;508827
2015-02-11;12715;143;150;147093;508827
2015-02-12;12793;143;150;147093;508827
2015-02-13;12788;143;150;147093;508827
2015-02-16;12753;143;150;147093;508827
2015-02-17;12770;143;150;147093;508827
2015-02-18;12843;143;150;147093;508827
2015-02-19;12843;143;150;147093;508827
2015-02-20;12813;143;150;147093;508827
2015-02-23;12835;143;150;147093;508827
2015-02-24;12898;143;150;147093;508827
2015-02-25;12874;143;150;147093;508827
2015-02-26;12838;143;150;147093;508827
2015-02-27;12925;143;150;147093;508827
2015-03-02;12970;143;150;147093;508827
2015-03-03;12965;143;150;147093;508827
2015-03-04;12983;143;150;147093;508827
2015-03-05;12990;143;150;147093;508827
2015-03-06;12980;143;150;147093;508827
2015-03-09;13050;143;150;147093;508827
2015-03-10;13092;143;150;147093;508827
2015-03-11;13191;143;150;147093;508827
2015-03-12;13183;143;150;147093;508827
2015-03-13;13195;143;150;147093;508827
2015-03-16;13242;143;150;147093;508827
2015-03-17;13168;143;150;147093;508827
2015-03-18;13170;143;150;147093;508827
2015-03-19;13035;143;150;147093;508827
2015-03-20;13116;143;150;147093;508827
2015-03-23;13020;143;150;147093;508827
2015-03-24;12905;143;150;147093;508827
2015-03-25;12986;143;150;147093;508827
2015-03-26;13019;143;150;147093;508827
2015-03-27;13065;143;150;147093;508827
2015-03-30;13075;143;150;147093;508827
2015-03-31;13075;143;150;147093;508827
2015-04-01;13043;143;150;147093;508827
2015-04-02;13003;143;150;147093;508827
2015-04-03;13003;143;150;147093;508827
2015-04-06;12959;143;150;147093;508827
2015-04-07;12985;143;150;147093;508827
2015-04-08;12955;143;150;147093;508827
2015-04-09;12898;143;150;147093;508827
2015-04-10;12915;143;150;147093;508827
2015-04-13;12985;143;150;147093;508827
2015-04-14;12981;143;150;147093;508827
2015-04-15;12901;143;150;147093;508827
2015-04-16;12856;143;150;147093;508827
2015-04-17;12850;143;150;147093;508827
2015-04-20;12890;143;150;147093;508827
2015-04-21;12958;143;150;147093;508827
2015-04-22;12900;143;150;147093;508827
2015-04-23;12955;143;150;147093;508827
2015-04-24;12920;143;150;147093;508827
2015-04-27;12980;143;150;147093;508827
2015-04-28;12980;143;150;147093;508827
2015-04-29;12940;143;150;147093;508827
2015-04-30;12963;143;150;147093;508827
2015-05-01;12963;143;150;147093;508827
2015-05-04;12980;143;150;147093;508827
