no,nilai,jual,beli,tanggal
1,1,15493,15339,12/29/2023 
2,1,15491,15337,12/28/2023 
3,1,15566,15412,12/27/2023 
4,1,15611,15455,12/22/2023 
5,1,15590,15434,12/21/2023 
6,1,15584,15428,12/20/2023 
7,1,15594,15438,12/19/2023 
8,1,15581,15425,12/18/2023 
9,1,15570,15416,12/15/2023 
10,1,15707,15551,12/14/2023 
11,1,15709,15553,12/13/2023 
12,1,15692,15536,12/12/2023 
13,1,15578,15423,12/11/2023 
14,1,15614,15458,12/8/2023 
15,1,15582,15426,12/7/2023 
16,1,15582,15426,12/6/2023 
17,1,15523,15369,12/5/2023 
18,1,15602,15446,12/4/2023 
19,1,15561,15407,12/1/2023 
20,1,15461,15307,11/30/2023 
21,1,15527,15373,11/29/2023 
22,1,15605,15449,11/28/2023 
23,1,15665,15509,11/27/2023 
24,1,15671,15515,11/24/2023 
25,1,15662,15506,11/23/2023 
26,1,15513,15359,11/22/2023 
27,1,15496,15342,11/21/2023 
28,1,15582,15426,11/20/2023 
29,1,15673,15517,11/17/2023 
30,1,15581,15425,11/16/2023 
31,1,15778,15621,11/15/2023 
32,1,15792,15634,11/14/2023 
33,1,15771,15615,11/13/2023 
34,1,15727,15571,11/10/2023 
35,1,15707,15551,11/9/2023 
36,1,15671,15515,11/8/2023 
37,1,15628,15472,11/7/2023 
38,1,15850,15692,11/6/2023 
39,1,15940,15782,11/3/2023 
40,1,16026,15866,11/2/2023 
41,1,15976,15818,11/1/2023 
42,1,15996,15836,10/31/2023 
43,1,16021,15861,10/30/2023 
44,1,16013,15853,10/27/2023 
45,1,15950,15792,10/26/2023 
46,1,15948,15790,10/25/2023 
47,1,16023,15863,10/24/2023 
48,1,15935,15777,10/23/2023 
49,1,15917,15759,10/20/2023 
50,1,15810,15652,10/19/2023 
51,1,15797,15639,10/18/2023 
52,1,15795,15637,10/17/2023 
53,1,15788,15630,10/16/2023 
54,1,15781,15623,10/13/2023 
55,1,15789,15631,10/12/2023 
56,1,15787,15629,10/11/2023 
57,1,15753,15597,10/10/2023 
58,1,15706,15550,10/9/2023 
59,1,15679,15523,10/6/2023 
60,1,15714,15558,10/5/2023 
61,1,15678,15522,10/4/2023 
62,1,15597,15441,10/3/2023 
63,1,15564,15410,10/2/2023 
64,1,15604,15448,9/29/2023 
65,1,15541,15387,9/27/2023 
66,1,15476,15322,9/26/2023 
67,1,15460,15306,9/25/2023 
68,1,15474,15320,9/22/2023 
69,1,15473,15319,9/21/2023 
70,1,15458,15304,9/20/2023 
71,1,15450,15296,9/19/2023 
72,1,15444,15290,9/18/2023 
73,1,15434,15280,9/15/2023 
74,1,15444,15290,9/14/2023 
75,1,15421,15267,9/13/2023 
76,1,15429,15275,9/12/2023 
77,1,15418,15264,9/11/2023 
78,1,15411,15257,9/8/2023 
79,1,15384,15230,9/7/2023 
80,1,15336,15184,9/6/2023 
