tanggal,jual,beli,date,formatted_date
12/29/2023,15493,15339,,
12/28/2023,15491,15337,,
12/27/2023,15566,15412,,
12/22/2023,15611,15455,,
12/21/2023,15590,15434,,
12/20/2023,15584,15428,,
12/19/2023,15594,15438,,
12/18/2023,15581,15425,,
12/15/2023,15570,15416,,
12/14/2023,15707,15551,,
12/13/2023,15709,15553,,
12/12/2023,15692,15536,,
12/11/2023,15578,15423,,
12/08/2023,15614,15458,,
12/07/2023,15582,15426,,
12/06/2023,15582,15426,,
12/05/2023,15523,15369,,
12/04/2023,15602,15446,,
12/01/2023,15561,15407,,
11/30/2023,15461,15307,,
11/29/2023,15527,15373,,
11/28/2023,15605,15449,,
11/27/2023,15665,15509,,
11/24/2023,15671,15515,,
11/23/2023,15662,15506,,
11/22/2023,15513,15359,,
11/21/2023,15496,15342,,
11/20/2023,15582,15426,,
11/17/2023,15673,15517,,
11/16/2023,15581,15425,,
11/15/2023,15778,15621,,
11/14/2023,15792,15634,,
11/13/2023,15771,15615,,
11/10/2023,15727,15571,,
11/09/2023,15707,15551,,
11/08/2023,15671,15515,,
11/07/2023,15628,15472,,
11/06/2023,15850,15692,,
11/03/2023,15940,15782,,
11/02/2023,16026,15866,,
11/01/2023,15976,15818,,
10/31/2023,15996,15836,,
10/30/2023,16021,15861,,
10/27/2023,16013,15853,,
10/26/2023,15950,15792,,
10/25/2023,15948,15790,,
10/24/2023,16023,15863,,
10/23/2023,15935,15777,,
10/20/2023,15917,15759,,
10/19/2023,15810,15652,,
10/18/2023,15797,15639,,
10/17/2023,15795,15637,,
10/16/2023,15788,15630,,
10/13/2023,15781,15623,,
10/12/2023,15789,15631,,
10/11/2023,15787,15629,,
10/10/2023,15753,15597,,
10/09/2023,15706,15550,,
10/06/2023,15679,15523,,
10/05/2023,15714,15558,,
10/04/2023,15678,15522,,
10/03/2023,15597,15441,,
10/02/2023,15564,15410,,
9/29/2023,15604,15448,,
9/27/2023,15541,15387,,
9/26/2023,15476,15322,,
9/25/2023,15460,15306,,
9/22/2023,15474,15320,,
9/21/2023,15473,15319,,
9/20/2023,15458,15304,,
9/19/2023,15450,15296,,
9/18/2023,15444,15290,,
9/15/2023,15434,15280,,
9/14/2023,15444,15290,,
9/13/2023,15421,15267,,
09/12/2023,15429,15275,,
09/11/2023,15418,15264,,
09/08/2023,15411,15257,,
09/07/2023,15384,15230,,
09/06/2023,15336,15184,,
09/05/2023,15323,15171,,
09/04/2023,15328,15176,,
09/01/2023,15313,15161,,
8/31/2023,15315,15163,,
8/30/2023,15339,15187,,
